"","nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS"
"1","standard dist - standard dist - standard dist - standard dist","11933.7995541712","38596.0843739422"
"2","standard dist - standard dist - standard dist - FP","-5294.36791991207","38596.0843739422"
"3","standard dist - standard dist - standard dist - RCS","-43899.0293157001","38596.0843739422"
"4","standard dist - standard dist - standard dist - RP","11933.8856503245","38596.0843739422"
"5","standard dist - standard dist - RCS - standard dist","9737.33017134648","30653.9903629465"
"6","standard dist - standard dist - RCS - FP","-8706.67461909658","30653.9903629465"
"7","standard dist - standard dist - RCS - RP","9737.42166627805","30653.9903629465"
"8","standard dist - FP - standard dist - standard dist","14528.8526280087","38596.0843739422"
"9","standard dist - FP - standard dist - FP","3464.72289026805","38596.0843739422"
"10","standard dist - FP - standard dist - RCS","-17010.6104724867","38596.0843739422"
"11","standard dist - FP - standard dist - RP","14528.9115197602","38596.0843739422"
"12","standard dist - FP - RCS - standard dist","13049.420698071","30653.9903629465"
"13","standard dist - FP - RCS - FP","1462.93921458078","30653.9903629465"
"14","standard dist - FP - RCS - RP","13049.4821601841","30653.9903629465"
"15","standard dist - RCS - standard dist - standard dist","14429.574296932","38596.0843739422"
"16","standard dist - RCS - standard dist - FP","3153.10709864486","38596.0843739422"
"17","standard dist - RCS - standard dist - RCS","-17852.5103965213","38596.0843739422"
"18","standard dist - RCS - standard dist - RP","14429.6341811465","38596.0843739422"
"19","standard dist - RCS - RCS - standard dist","12924.3229164292","30653.9903629465"
"20","standard dist - RCS - RCS - FP","1106.12278746476","30653.9903629465"
"21","standard dist - RCS - RCS - RP","12924.3854565156","30653.9903629465"
"22","standard dist - RP - standard dist - standard dist","9601.47377479458","38596.0843739422"
"23","standard dist - RP - standard dist - FP","-14065.4897503946","38596.0843739422"
"24","standard dist - RP - standard dist - RCS","-79179.1157440775","38596.0843739422"
"25","standard dist - RP - standard dist - RP","9601.58527308528","38596.0843739422"
"26","standard dist - RP - RCS - standard dist","6718.53908241934","30653.9903629465"
"27","standard dist - RP - RCS - FP","-19164.2083778641","30653.9903629465"
"28","standard dist - RP - RCS - RP","6718.65950095264","30653.9903629465"
"29","FP - standard dist - standard dist - standard dist","8866.5294397578","25123.6354092941"
"30","FP - standard dist - standard dist - FP","-5167.049015835","25123.6354092941"
"31","FP - standard dist - standard dist - RCS","-32917.7522163717","25123.6354092941"
