"","nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS"
"1","standard dist - standard dist - standard dist - standard dist","4562.10752746736","37116.9638970513"
"2","standard dist - standard dist - standard dist - FP","-56146.7831643087","37116.9638970513"
"3","standard dist - standard dist - standard dist - RCS","-58262.4092743579","37116.9638970513"
"4","standard dist - standard dist - standard dist - RP","3745.18235532332","37116.9638970513"
"5","standard dist - standard dist - FP - FP","-41433.0787291253","48570.5968141824"
"6","standard dist - standard dist - FP - RCS","-43889.954554077","48570.5968141824"
"7","standard dist - standard dist - RCS - standard dist","5492.07355098087","31983.3139442849"
"8","standard dist - standard dist - RCS - FP","-62803.3520595119","31983.3139442849"
"9","standard dist - standard dist - RCS - RCS","-65322.95442807","31983.3139442849"
"10","standard dist - standard dist - RCS - RP","4622.34578381485","31983.3139442849"
"11","standard dist - standard dist - RP - standard dist","3697.9575748979","35623.760891352"
"12","standard dist - standard dist - RP - FP","-58416.6916916237","35623.760891352"
"13","standard dist - standard dist - RP - RCS","-60592.6698037552","35623.760891352"
"14","standard dist - standard dist - RP - RP","2866.50001019128","35623.760891352"
"15","standard dist - FP - standard dist - standard dist","9758.78307208974","37116.9638970513"
"16","standard dist - FP - standard dist - FP","-21872.8852419352","37116.9638970513"
"17","standard dist - FP - standard dist - RCS","-22769.7675534924","37116.9638970513"
"18","standard dist - FP - standard dist - RP","9237.59099341244","37116.9638970513"
"19","standard dist - FP - FP - FP","-9820.98759341925","48570.5968141824"
"20","standard dist - FP - FP - RCS","-10736.1977986984","48570.5968141824"
"21","standard dist - FP - RCS - standard dist","10639.8813568177","31983.3139442849"
"22","standard dist - FP - RCS - FP","-22890.3859230363","31983.3139442849"
"23","standard dist - FP - RCS - RCS","-23860.9159402602","31983.3139442849"
"24","standard dist - FP - RCS - RP","10098.3228763385","31983.3139442849"
"25","standard dist - FP - RP - standard dist","9197.16191887749","35623.760891352"
"26","standard dist - FP - RP - FP","-22883.4916044927","35623.760891352"
"27","standard dist - FP - RP - RCS","-23794.7893023086","35623.760891352"
"28","standard dist - FP - RP - RP","8669.61433172196","35623.760891352"
"29","standard dist - RCS - standard dist - standard dist","10166.7057641785","37116.9638970513"
"30","standard dist - RCS - standard dist - FP","-19801.5181730027","37116.9638970513"
"31","standard dist - RCS - standard dist - RCS","-20639.7591248105","37116.9638970513"
"32","standard dist - RCS - standard dist - RP","9666.23616686596","37116.9638970513"
"33","standard dist - RCS - FP - FP","-8126.15448850349","48570.5968141824"
"34","standard dist - RCS - FP - RCS","-8977.09181675835","48570.5968141824"
"35","standard dist - RCS - RCS - standard dist","11035.6699100383","31983.3139442849"
"36","standard dist - RCS - RCS - FP","-20625.8011780859","31983.3139442849"
"37","standard dist - RCS - RCS - RCS","-21528.3232312404","31983.3139442849"
"38","standard dist - RCS - RCS - RP","10516.5097440746","31983.3139442849"
"39","standard dist - RCS - RP - standard dist","9626.58633045739","35623.760891352"
"40","standard dist - RCS - RP - FP","-20749.6542472207","35623.760891352"
"41","standard dist - RCS - RP - RCS","-21600.7434916522","35623.760891352"
"42","standard dist - RCS - RP - RP","9120.2220461563","35623.760891352"
"43","standard dist - RP - standard dist - standard dist","4509.11643244411","37116.9638970513"
"44","standard dist - RP - standard dist - FP","-56637.900200597","37116.9638970513"
"45","standard dist - RP - standard dist - RCS","-58774.7256538253","37116.9638970513"
"46","standard dist - RP - standard dist - RP","3688.52287972509","37116.9638970513"
"47","standard dist - RP - FP - FP","-41940.2719408937","48570.5968141824"
"48","standard dist - RP - FP - RCS","-44427.7803809148","48570.5968141824"
"49","standard dist - RP - RCS - standard dist","5438.88169987792","31983.3139442849"
"50","standard dist - RP - RCS - FP","-63412.4034431412","31983.3139442849"
"51","standard dist - RP - RCS - RCS","-65961.203673902","31983.3139442849"
"52","standard dist - RP - RCS - RP","4564.98220047417","31983.3139442849"
"53","standard dist - RP - RP - standard dist","3641.2425703912","35623.760891352"
"54","standard dist - RP - RP - FP","-58929.2854775728","35623.760891352"
"55","standard dist - RP - RP - RCS","-61127.4617819136","35623.760891352"
"56","standard dist - RP - RP - RP","2805.99610845422","35623.760891352"
"57","FP - FP - standard dist - standard dist","6201.72289864599","24020.7258296815"
"58","FP - FP - standard dist - FP","-19790.9957884529","24020.7258296815"
"59","FP - FP - standard dist - RCS","-20482.3226937185","24020.7258296815"
"60","FP - FP - standard dist - RP","5746.17980861043","24020.7258296815"
"61","FP - FP - FP - FP","-10364.7296906666","25056.9721564613"
"62","FP - FP - FP - RCS","-11065.8862341849","25056.9721564613"
"63","FP - FP - RCS - standard dist","6784.6852041492","19899.3594643859"
"64","FP - FP - RCS - FP","-20463.1824225768","19899.3594643859"
"65","FP - FP - RCS - RCS","-21197.6660803862","19899.3594643859"
"66","FP - FP - RCS - RP","6313.30165245566","19899.3594643859"
"67","FP - FP - RP - standard dist","5716.76781140423","23078.5296195592"
"68","FP - FP - RP - FP","-20573.0772776625","23078.5296195592"
"69","FP - FP - RP - RCS","-21273.134639826","23078.5296195592"
"70","FP - FP - RP - RP","5256.61431940151","23078.5296195592"
"71","FP - RCS - standard dist - standard dist","6648.84591635992","24020.7258296815"
"72","FP - RCS - standard dist - FP","-18224.008030607","24020.7258296815"
"73","FP - RCS - standard dist - RCS","-18879.6500789378","24020.7258296815"
"74","FP - RCS - standard dist - RP","6209.02430561598","24020.7258296815"
"75","FP - RCS - FP - FP","-9030.99378089788","25056.9721564613"
"76","FP - RCS - FP - RCS","-9693.90242523328","25056.9721564613"
"77","FP - RCS - RCS - standard dist","7232.29260050375","19899.3594643859"
"78","FP - RCS - RCS - FP","-18785.5507426755","19899.3594643859"
"79","FP - RCS - RCS - RCS","-19480.001055825","19899.3594643859"
"80","FP - RCS - RCS - RP","6777.75760831063","19899.3594643859"
"81","FP - RCS - RP - standard dist","6179.90391226459","23078.5296195592"
"82","FP - RCS - RP - FP","-18967.9210409264","23078.5296195592"
"83","FP - RCS - RP - RCS","-19631.538713396","23078.5296195592"
"84","FP - RCS - RP - RP","5735.75799011273","23078.5296195592"
"85","RCS - standard dist - standard dist - standard dist","9336.75191302637","37210.0304057079"
"86","RCS - standard dist - standard dist - FP","-40978.7519885322","37210.0304057079"
"87","RCS - standard dist - standard dist - RCS","-42643.7840395926","37210.0304057079"
"88","RCS - standard dist - standard dist - RP","8623.98217063363","37210.0304057079"
"89","RCS - standard dist - FP - FP","-24826.467531465","45299.6183732125"
"90","RCS - standard dist - FP - RCS","-26647.5588697325","45299.6183732125"
"91","RCS - standard dist - RCS - standard dist","10525.0569850003","33352.6723651955"
"92","RCS - standard dist - RCS - FP","-44928.1347626084","33352.6723651955"
"93","RCS - standard dist - RCS - RCS","-46849.1307257916","33352.6723651955"
"94","RCS - standard dist - RCS - RP","9773.53313631794","33352.6723651955"
"95","RCS - standard dist - RP - standard dist","8570.27611971427","36025.350305565"
"96","RCS - standard dist - RP - FP","-42799.0593643604","36025.350305565"
"97","RCS - standard dist - RP - RCS","-44506.1023473121","36025.350305565"
"98","RCS - standard dist - RP - RP","7845.67535351032","36025.350305565"
"99","RCS - FP - standard dist - standard dist","12822.8178972433","37210.0304057079"
"100","RCS - FP - standard dist - FP","-15417.4475241358","37210.0304057079"
"101","RCS - FP - standard dist - RCS","-16202.6135080565","37210.0304057079"
"102","RCS - FP - standard dist - RP","12348.0240382656","37210.0304057079"
"103","RCS - FP - FP - FP","-3505.31337694917","45299.6183732125"
"104","RCS - FP - FP - RCS","-4293.96782998707","45299.6183732125"
"105","RCS - FP - RCS - standard dist","13801.8044727784","33352.6723651955"
"106","RCS - FP - RCS - FP","-15928.5812037427","33352.6723651955"
"107","RCS - FP - RCS - RCS","-16770.3116461956","33352.6723651955"
"108","RCS - FP - RCS - RP","13310.6268537886","33352.6723651955"
"109","RCS - FP - RP - standard dist","12305.2552949742","36025.350305565"
"110","RCS - FP - RP - FP","-16313.0712832308","36025.350305565"
"111","RCS - FP - RP - RCS","-17110.0238957406","36025.350305565"
"112","RCS - FP - RP - RP","11824.9396003805","36025.350305565"
"113","RCS - RCS - standard dist - standard dist","13109.5727840144","37210.0304057079"
"114","RCS - RCS - standard dist - FP","-13774.2650434104","37210.0304057079"
"115","RCS - RCS - standard dist - RCS","-14512.8094910896","37210.0304057079"
"116","RCS - RCS - standard dist - RP","12652.1888302629","37210.0304057079"
"117","RCS - RCS - FP - FP","-2255.25811048532","45299.6183732125"
"118","RCS - RCS - FP - RCS","-2994.45252473931","45299.6183732125"
"119","RCS - RCS - RCS - standard dist","14068.1279324537","33352.6723651955"
"120","RCS - RCS - RCS - FP","-14157.2283992298","33352.6723651955"
"121","RCS - RCS - RCS - RCS","-14945.7184680399","33352.6723651955"
"122","RCS - RCS - RCS - RP","13595.6038839137","33352.6723651955"
"123","RCS - RCS - RP - standard dist","12610.4095159368","36025.350305565"
"124","RCS - RCS - RP - FP","-14619.5331374363","36025.350305565"
"125","RCS - RCS - RP - RCS","-15368.6849130572","36025.350305565"
"126","RCS - RCS - RP - RP","12147.8792371789","36025.350305565"
"127","RCS - RP - standard dist - standard dist","9304.62019073151","37210.0304057079"
"128","RCS - RP - standard dist - FP","-41322.1089380877","37210.0304057079"
"129","RCS - RP - standard dist - RCS","-43001.2145384172","37210.0304057079"
"130","RCS - RP - standard dist - RP","8589.01802463054","37210.0304057079"
"131","RCS - RP - FP - FP","-25137.2087093549","45299.6183732125"
"132","RCS - RP - FP - RCS","-26976.4741306828","45299.6183732125"
"133","RCS - RP - RCS - standard dist","10495.176795284","33352.6723651955"
"134","RCS - RP - RCS - FP","-45338.0925924746","33352.6723651955"
"135","RCS - RP - RCS - RCS","-47277.4891304046","33352.6723651955"
"136","RCS - RP - RCS - RP","9740.49411366201","33352.6723651955"
"137","RCS - RP - RP - standard dist","8535.19278828878","36025.350305565"
"138","RCS - RP - RP - FP","-43156.9379391469","36025.350305565"
"139","RCS - RP - RP - RCS","-44878.6493742886","36025.350305565"
"140","RCS - RP - RP - RP","7807.67074068386","36025.350305565"
"141","RP - standard dist - standard dist - standard dist","825.231319912832","30995.1792743814"
"142","RP - standard dist - standard dist - FP","-58708.4004084168","30995.1792743814"
"143","RP - standard dist - standard dist - RCS","-60727.9303699462","30995.1792743814"
"144","RP - standard dist - standard dist - RP","3.49072004792644","30995.1792743814"
"145","RP - standard dist - FP - FP","-45796.8901353372","37094.9502277146"
"146","RP - standard dist - FP - RCS","-48135.9855081234","37094.9502277146"
"147","RP - standard dist - RCS - standard dist","1447.12285003315","25033.8930801034"
"148","RP - standard dist - RCS - FP","-65236.0975741451","25033.8930801034"
"149","RP - standard dist - RCS - RCS","-67617.015878143","25033.8930801034"
"150","RP - standard dist - RCS - RP","571.226904575016","25033.8930801034"
"151","RP - standard dist - RP - standard dist","-33.9938107271485","29534.1289119143"
"152","RP - standard dist - RP - FP","-60869.3401936244","29534.1289119143"
"153","RP - standard dist - RP - RCS","-62942.8058647969","29534.1289119143"
"154","RP - standard dist - RP - RP","-869.718404203172","29534.1289119143"
"155","RP - FP - standard dist - standard dist","7050.62504567367","30995.1792743814"
"156","RP - FP - standard dist - FP","-24524.3069929554","30995.1792743814"
"157","RP - FP - standard dist - RCS","-25409.9860083416","30995.1792743814"
"158","RP - FP - standard dist - RP","6525.24482626396","30995.1792743814"
"159","RP - FP - FP - FP","-13303.8260468521","37094.9502277146"
"160","RP - FP - FP - RCS","-14212.7671017569","37094.9502277146"
"161","RP - FP - RCS - standard dist","7775.6547386379","25033.8930801034"
"162","RP - FP - RCS - FP","-25687.6416635871","25033.8930801034"
"163","RP - FP - RCS - RCS","-26644.6170873799","25033.8930801034"
"164","RP - FP - RCS - RP","7229.19188629736","25033.8930801034"
"165","RP - FP - RP - standard dist","6489.83186640623","29534.1289119143"
"166","RP - FP - RP - FP","-25517.6848446002","29534.1289119143"
"167","RP - FP - RP - RCS","-26417.0625514041","29534.1289119143"
"168","RP - FP - RP - RP","5958.24189858434","29534.1289119143"
"169","RP - RCS - standard dist - standard dist","7540.03978964833","30995.1792743814"
"170","RP - RCS - standard dist - FP","-22399.2569205782","30995.1792743814"
"171","RP - RCS - standard dist - RCS","-23228.3815246852","30995.1792743814"
"172","RP - RCS - standard dist - RP","7035.52314399306","30995.1792743814"
"173","RP - RCS - FP - FP","-11491.1711114677","37094.9502277146"
"174","RP - RCS - FP - RCS","-12337.6228813414","37094.9502277146"
"175","RP - RCS - RCS - standard dist","8262.61595636171","25033.8930801034"
"176","RP - RCS - RCS - FP","-23365.4905724452","25033.8930801034"
"177","RP - RCS - RCS - RCS","-24257.1030290201","25033.8930801034"
"178","RP - RCS - RCS - RP","7738.74464046643","25033.8930801034"
"179","RP - RCS - RP - standard dist","7000.58417069971","29534.1289119143"
"180","RP - RCS - RP - FP","-23332.6969266632","29534.1289119143"
"181","RP - RCS - RP - RCS","-24174.0714186258","29534.1289119143"
"182","RP - RCS - RP - RP","6490.30199317353","29534.1289119143"
"183","RP - RP - standard dist - standard dist","760.404273241684","30995.1792743814"
"184","RP - RP - standard dist - FP","-59185.291420432","30995.1792743814"
"185","RP - RP - standard dist - RCS","-61223.9113097654","30995.1792743814"
"186","RP - RP - standard dist - RP","-64.998124665996","30995.1792743814"
"187","RP - RP - FP - FP","-46298.9410170222","37094.9502277146"
"188","RP - RP - FP - RCS","-48665.2326515751","37094.9502277146"
"189","RP - RP - RCS - standard dist","1380.02052938146","25033.8930801034"
"190","RP - RP - RCS - FP","-65820.0387833363","25033.8930801034"
"191","RP - RP - RCS - RCS","-68226.7403198966","25033.8930801034"
"192","RP - RP - RCS - RP","499.953606987977","25033.8930801034"
"193","RP - RP - RP - standard dist","-102.47457473715","29534.1289119143"
"194","RP - RP - RP - FP","-61365.5232842349","29534.1289119143"
"195","RP - RP - RP - RCS","-63458.918594923","29534.1289119143"
"196","RP - RP - RP - RP","-941.974250658791","29534.1289119143"
