"","Model","LnL","Params","AIC"
"1","exp",-83.9069584798812,1,169.813916959762
"2","weibull",-83.934488527355,2,171.86897705471
"3","gamma",-83.8605557733938,2,171.721111546788
"4","lnorm",-79.052023446719,2,162.104046893438
"5","gompertz",-83.185248259525,2,170.37049651905
"6","llogis",-80.3056609108683,2,164.611321821737
"7","gengamma",-79.0578423765735,3,164.115684753147
"8","genf",-79.1141795233586,4,166.228359046717
"9","FP1-1",-81.5789508131742,2,167.157901626348
"10","FP1-2",-82.4617847024937,2,168.923569404987
"11","FP2-1",-79.0040035801122,3,164.008007160224
"12","FP2-2",-79.0371703091039,3,164.074340618208
"13","RCS1",-82.1607110198923,3,170.321422039785
"14","RCS2",-81.7238698383662,4,171.447739676732
"15","RP-hazard-1",-79.5326189637517,3,165.065237927503
"16","RP-hazard-2",-79.3840681446329,4,166.768136289266
"17","RP-odds-1",-79.6095736050187,3,165.219147210037
"18","RP-odds-2",-80.305611118809,2,164.611222237618
"19","RP-normal-1",-79.0520300579861,2,162.104060115972
"20","RP-normal-2",-79.0527691318681,3,164.105538263736
