"","Model","LnL","Params","AIC"
"1","exp",-158.438697419029,1,318.877394838058
"2","weibull",-149.207765875493,2,302.415531750985
"3","gamma",-152.789607970194,2,309.579215940387
"4","lnorm",-133.343196051704,2,270.686392103408
"5","gompertz",-134.07626559113,2,272.152531182261
"6","llogis",-135.129625252246,2,274.259250504492
"7","gengamma",-130.97128477238,3,267.94256954476
"8","genf",-129.457635311313,4,266.915270622626
"9","FP1-1",-134.277985260184,2,272.555970520368
"10","FP1-2",-131.964053099204,2,267.928106198408
"11","FP2-1",-127.810591534876,3,261.621183069752
"12","FP2-2",-127.867120176467,3,261.734240352935
"13","RCS1",-131.815785182248,3,269.631570364496
"14","RCS2",-130.307182379432,4,268.614364758864
"15","RP-hazard-1",-127.744943957504,5,265.489887915009
"16","RP-hazard-2",-127.263091923264,6,266.526183846528
"17","RP-odds-1",-127.605941347148,5,265.211882694296
"18","RP-odds-2",-129.887631769332,3,265.775263538665
"19","RP-normal-1",-127.616149356367,5,265.232298712733
"20","RP-normal-2",-129.06541615656,4,266.130832313121
