"","Model","LnL","Params","AIC"
"1","exp",-240.451886768142,1,482.903773536284
"2","weibull",-210.974753295204,2,425.949506590408
"3","gamma",-227.054190041574,2,458.108380083147
"4","lnorm",-162.354878574327,2,328.709757148655
"5","gompertz",-165.653704082022,2,335.307408164044
"6","llogis",-153.188350396397,2,310.376700792794
"7","gengamma",-135.49315466428,3,276.986309328561
"8","FP1-1",-198.818725264895,2,401.63745052979
"9","FP1-2",-184.964127352378,2,373.928254704756
"10","FP2-1",-126.141777719223,3,258.283555438446
"11","FP2-2",-129.701322905452,3,265.402645810903
"12","RCS1",-184.792413087363,3,375.584826174726
"13","RCS2",-112.322041813931,4,232.644083627861
"14","RP-hazard-1",-108.341742893046,4,224.683485786093
"15","RP-hazard-2",-115.299443588785,3,236.59888717757
"16","RP-odds-1",-108.892203841584,3,223.784407683169
"17","RP-odds-2",-109.826724180803,4,227.653448361606
"18","RP-normal-1",-113.795150085318,4,235.590300170636
"19","RP-normal-2",-120.035212151674,3,246.070424303347
