"","Model","LnL","Params","AIC"
"1","exp",-218.507182058991,1,439.014364117982
"2","weibull",-213.360479440749,2,430.720958881499
"3","gamma",-218.677474519163,2,441.354949038325
"4","lnorm",-164.52492301815,2,333.049846036299
"5","gompertz",-188.021607476182,2,380.043214952364
"6","llogis",-161.208548256759,2,326.417096513519
"7","gengamma",-136.528012269795,3,279.056024539589
"8","FP1-1",-226.845127691066,2,457.690255382132
"9","FP1-2",-215.572911834368,2,435.145823668735
"10","FP2-1",-143.169404294737,3,292.338808589474
"11","FP2-2",-143.679376198111,3,293.358752396222
"12","RCS1",-214.044435123032,3,434.088870246065
"13","RCS2",-118.279026644908,4,244.558053289815
"14","RP-hazard-1",-115.898563705927,4,239.797127411855
"15","RP-hazard-2",-124.806708904355,3,255.61341780871
"16","RP-odds-1",-117.502270530706,3,241.004541061412
"17","RP-odds-2",-120.13490103767,4,248.269802075339
"18","RP-normal-1",-126.571042746415,4,261.142085492831
"19","RP-normal-2",-124.462132978565,3,254.924265957129
