"","Model","LnL","Params","AIC"
"1","exp",-94.7229378992226,1,191.445875798445
"2","weibull",-88.9528408645223,2,181.905681729045
"3","gamma",-89.9307667579844,2,183.861533515969
"4","lnorm",-84.5770049251478,2,173.154009850296
"5","gompertz",-82.8380671329962,2,169.676134265992
"6","llogis",-86.3837999485978,2,176.767599897196
"7","gengamma",-83.5371957740789,3,173.074391548158
"8","genf",-81.112991259487,4,170.225982518974
"9","FP1-1",-83.1287836829554,2,170.257567365911
"10","FP1-2",-82.0768311824204,2,168.153662364841
"11","FP2-1",-81.249680352,3,168.499360704
"12","FP2-2",-81.2871689437644,3,168.574337887529
"13","RCS1",-82.0174389208787,3,170.034877841757
"14","RCS2",-81.0943832852374,4,170.188766570475
"15","RP-hazard-1",-81.1035650781299,4,170.20713015626
"16","RP-hazard-2",-82.4743396699765,3,170.948679339953
"17","RP-odds-1",-81.0835878138547,4,170.167175627709
"18","RP-odds-2",-82.4125386289062,3,170.825077257812
"19","RP-normal-1",-81.1206373896674,4,170.241274779335
"20","RP-normal-2",-81.1496229934039,5,172.299245986808
