"","Model","LnL","Params","AIC"
"1","exp",-164.06343130232,1,330.126862604639
"2","weibull",-137.397881006663,2,278.795762013325
"3","gamma",-141.014717426615,2,286.02943485323
"4","lnorm",-127.347402861271,2,258.694805722542
"5","gompertz",-119.468691290026,2,242.937382580051
"6","llogis",-131.543072245343,2,267.086144490687
"7","gengamma",-114.998350477074,3,235.996700954149
"8","genf",-114.995789657154,4,237.991579314309
"9","FP1-1",-123.385230381698,2,250.770460763397
"10","FP1-2",-137.022622542317,2,278.045245084633
"11","FP2-1",-113.281592221454,3,232.563184442909
"12","FP2-2",-113.914933635877,3,233.829867271755
"13","RCS1",-119.591725210721,3,245.183450421442
"14","RCS2",-118.629960439151,4,245.259920878302
"15","RP-hazard-1",-116.017296852304,3,238.034593704608
"16","RP-hazard-2",-115.890283488365,4,239.780566976731
"17","RP-odds-1",-115.957977794083,3,237.915955588167
"18","RP-odds-2",-115.872625286345,4,239.745250572691
"19","RP-normal-1",-115.281488548066,3,236.562977096132
"20","RP-normal-2",-115.072666477348,4,238.145332954696
