"","Model","LnL","Params","AIC"
"1","exp",-211.074418220288,1,NA
"2","weibull",-153.418279536254,2,NA
"3","gamma",-162.637766987342,2,NA
"4","lnorm",-136.727412504091,2,NA
"5","gompertz",-118.293194040124,2,NA
"6","llogis",-139.989167115864,2,NA
"7","gengamma",-105.549704418283,3,NA
"8","genf",-94.9128383104974,4,NA
"9","FP1-1",-124.700444149222,2,NA
"10","FP1-2",-153.088489423447,2,NA
"11","FP2-1",-97.9372890015963,3,NA
"12","FP2-2",-99.925881026756,3,NA
"13","RCS1",-116.376907880849,3,NA
"14","RCS2",-102.761911368744,4,NA
"15","RP-hazard-1",-91.1939712869075,7,NA
"16","RP-hazard-2",-88.5663649686777,6,NA
"17","RP-odds-1",-91.4584579952347,7,NA
"18","RP-odds-2",-88.55596140923,6,NA
"19","RP-normal-1",-92.1432942521172,7,NA
"20","RP-normal-2",-88.9018337872824,6,NA
