,Model,3ys_NI_PFS,3ys_I_PFS,6.5ys_NI_PFS,6.5ys_I_PFS,,,,,3ys_NI_OS,3ys_I_OS,6.5ys_NI_OS,6.5ys_I_OS
1,exp,2.798805697,2.480007248,5.739789076,4.47941259,,,,exp,2.798805697,2.480007248,5.739789076,4.47941259
2,FP1-1,2.798818097,2.57042857,5.994943899,5.204995969,,,,weibull,2.80450518,2.507505849,5.892538481,4.674376333
3,FP1-2,2.80531647,2.575140018,5.930454221,5.387796661,,,,gamma,2.808378123,2.47808948,5.871885928,4.469028254
4,FP2-1,2.786483373,2.552844826,5.988468412,5.36513369,,,,lognormal,2.790017739,2.45841299,5.90096085,4.774284863
5,FP2-2,2.78822964,2.54775785,5.980265641,5.407099279,,,,gompertz,2.788449197,2.555696671,6.003159866,5.333116392
6,gamma,2.808378123,2.47808948,5.871885928,4.469028254,,,,loglogistic,2.786376691,2.399292485,5.888624122,4.741543325
7,genf,2.781675667,NA,5.955009292,NA,,,,gengamma,2.788566319,2.495619001,5.945365525,5.042829742
8,gengamma,2.788566319,2.495619001,5.945365525,5.042829742,,,,genf,2.781675667,NA,5.955009292,NA
9,gompertz,2.788449197,2.555696671,6.003159866,5.333116392,,,,FP1-1,2.798818097,2.57042857,5.994943899,5.204995969
10,loglogistic,2.786376691,2.399292485,5.888624122,4.741543325,,,,FP1-2,2.80531647,2.575140018,5.930454221,5.387796661
11,lognormal,2.790017739,2.45841299,5.90096085,4.774284863,,,,FP2-1,2.786483373,2.552844826,5.988468412,5.36513369
12,RCS1,2.793500538,2.559065535,6.010488346,5.39764003,,,,FP2-2,2.78822964,2.54775785,5.980265641,5.407099279
13,RCS2,2.789864566,2.576751835,5.960111773,4.186534788,,,,RCS1,2.793500538,2.559065535,6.010488346,5.39764003
14,RP-hazard-1,2.781754295,2.518354839,5.961399025,5.28531717,,,,RCS2,2.789864566,2.576751835,5.960111773,4.186534788
15,RP-hazard-2,2.781422323,2.502818627,5.958948497,5.266665279,,,,RP-hazard-1,2.781754295,2.518354839,5.961399025,5.28531717
16,RP-normal-1,2.782335543,2.49264692,5.964333092,5.247139456,,,,RP-hazard-2,2.781422323,2.502818627,5.958948497,5.266665279
17,RP-normal-2,2.78266067,2.532026951,5.964724711,5.258952451,,,,RP-odds-1,2.78180047,2.504103729,5.963644477,5.271279496
18,RP-odds-1,2.78180047,2.504103729,5.963644477,5.271279496,,,,RP-odds-2,2.782078899,2.495231672,5.962932079,5.257517516
19,RP-odds-2,2.782078899,2.495231672,5.962932079,5.257517516,,,,RP-normal-1,2.782335543,2.49264692,5.964333092,5.247139456
20,weibull,2.80450518,2.507505849,5.892538481,4.674376333,,,,RP-normal-2,2.78266067,2.532026951,5.964724711,5.258952451
